iter	Passed	Remaining
0	1	138
1	2	103
2	2	82
3	3	92
4	4	82
5	4	75
6	5	70
7	5	67
8	6	66
9	7	64
10	7	62
11	8	60
12	8	58
13	9	57
14	9	56
15	10	55
16	11	54
17	11	53
18	12	51
19	12	50
20	13	49
21	13	48
22	14	47
23	14	47
24	15	46
25	16	46
26	16	45
27	17	44
28	17	43
29	18	42
30	18	41
31	19	41
32	19	40
33	20	40
34	21	39
35	21	39
36	22	38
37	23	37
38	23	36
39	24	36
40	24	35
41	25	35
42	25	34
43	26	33
44	26	32
45	27	32
46	28	31
47	28	30
48	29	30
49	29	29
50	30	29
51	31	28
52	31	27
53	31	27
54	32	26
55	33	25
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	20
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	42	15
73	43	15
74	44	14
75	44	14
76	45	13
77	45	12
78	46	12
79	47	11
80	47	11
81	48	10
82	48	9
83	49	9
84	49	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	58	0
99	58	0
